state,year,utility,design,plant,reissue,total,sirs,ssf,ssjc,sse,reallocation,ppf,ppyf,ppjc,ppyjc,ppe,ppye,firms,newfirms,jc,newjc,emp,nemp
IN,2004,1280,194,10,1,1485,0,8.469999999999999,15.53,2.18,23.8,14.334115194162106,169.17293233082705,4.120353157272632,26.539657575865892,0.5763644020267845,26.485695940643502,103599,8778,360406,55954,2576495,56068
IN,2005,1108,133,4,1,1246,0,8.39,17.98,2.46,24.4,11.972710675506871,142.67720141990154,3.5034443975818923,19.490067261066795,0.4789143173856659,19.439287330140257,104070,8733,355650,63930,2601718,64097
IN,2006,1165,319,7,8,1499,0,8.89,17.380000000000003,2.52,23.8,14.370901560762357,161.59982751185856,3.9026600051549476,22.459620628689578,0.5630863291354165,22.340790199263754,104308,9276,384097,66742,2662114,67097
IN,2007,1137,238,3,3,1381,4,8.24,14.26,2.13,29.6,13.180625149129085,159.9305153445281,3.531662208401315,24.768634765765118,0.5227055177036687,24.51058694070248,104775,8635,391034,55756,2642023,56343
IN,2008,985,202,0,8,1195,1,7.779999999999999,15.45,1.9900000000000002,25.6,11.550580912060934,148.46564790657223,3.5809749841178515,23.17822992028241,0.45776004792881775,22.994919950738918,103458,8049,333708,51557,2610538,51968
IN,2009,1095,147,0,4,1246,0,6.39,15.09,1.68,21.4,12.454022069406685,194.7483588621444,4.642445965431289,30.756319115323855,0.5101263770546303,30.365063118389628,100048,6398,268393,40512,2442532,41034
IN,2010,1492,198,1,6,1697,0,6.069999999999999,15.620000000000001,1.79,22.4,17.27701251234436,284.4451894066376,6.290030838571937,40.277217383048914,0.7114937049368104,39.819790224558275,98223,5966,269792,42133,2385123,42617
IN,2011,1437,187,2,7,1633,0,6.38,12.85,1.58,20.8,16.892695693552227,264.5819831497084,5.542939964495314,43.1428495944625,0.6745951912475301,42.75428721036785,96669,6172,294609,37851,2420711,38195
IN,2012,1741,218,0,4,1963,0,6.419999999999999,12.23,1.7000000000000002,21.4,20.1635269223658,314.1302608417347,5.655919555132971,46.22956996844237,0.7816301388299359,45.8527014085165,97354,6249,347070,42462,2511418,42811
IN,2013,1921,244,0,2,2167,0,6.39,12.72,1.55,20.2,22.350805536646245,349.6853316120704,7.051167331001383,55.42341236348756,0.8513005413045759,54.966517857142854,96954,6197,307325,39099,2545517,39424
IN,2014,2049,213,1,2,2265,0,6.16,11.540000000000001,1.41,20.0,23.538581449727204,382.0205768257716,7.148944228766215,61.92415999125133,0.8739606042482588,61.92415999125133,96225,5929,316830,36577,2591650,36577
IA,1992,367,38,0,2,407,0,8.51,19.009999999999998,2.8899999999999997,29.2,7.372387059377604,86.65105386416862,2.6087402412603997,13.722184760620364,0.3963813402753633,13.706472688085135,55206,4697,156014,29660,1026789,29694
IA,1993,366,67,0,1,435,1,8.15,16.59,2.19,23.0,7.798074682250864,95.68851737791465,3.156405325980481,19.03053635488669,0.416204217536071,18.980713849376038,55783,4546,137815,22858,1045160,22918
IA,1994,394,65,0,1,460,0,8.84,17.29,2.39,23.6,8.147793896239616,92.20284626177592,3.135565492420111,18.138086037616812,0.43189041250228855,18.077497445571012,56457,4989,146704,25361,1065085,25446
IA,1995,421,65,0,0,486,0,8.709999999999999,16.900000000000002,2.46,21.2,8.511830744172197,97.708082026538,3.028226057698299,17.917711252027726,0.43832354771503557,17.848617283043815,57097,4974,160490,27124,1108770,27229
IA,1996,433,51,0,2,486,0,8.49,16.54,2.3,22.8,8.426235761221976,99.30527176134042,3.102338882647329,18.75434128270433,0.42685497470489037,18.552450755840585,57677,4894,156656,25914,1138560,26196
IA,1997,398,50,0,2,450,0,8.36,15.64,2.35,28.0,7.76477896262553,92.91761304976254,2.6024798741556396,16.63524453809471,0.390367465907908,16.58374792703151,57954,4843,172912,27051,1152760,27135
IA,1998,644,75,0,0,719,0,8.34,18.060000000000002,2.59,22.2,12.375854174914368,148.30858085808583,4.216885135333275,23.345671796869926,0.6032056310378241,23.28292477575208,58097,4848,170505,30798,1191965,30881
IA,1999,747,69,0,3,819,0,7.76,16.04,2.27,24.2,14.131897711978464,182.0,4.730986517554906,29.49863132113528,0.6670728290403926,29.432904477826494,57954,4500,173114,27764,1227752,27826
IA,2000,589,86,0,1,676,0,7.66,14.62,2.19,22.8,11.711305914555973,152.90658222121692,3.569919729615547,24.418436642103742,0.5308251582856232,24.239816408491105,57722,4421,189360,27684,1273489,27888
IA,2001,751,64,0,0,815,0,7.01,16.150000000000002,1.95,23.8,14.226116706523069,202.88772715957182,5.442113276085418,33.695786993012774,0.6534197504337425,33.47572496508667,57289,4017,149758,24187,1247284,24346
IA,2002,630,49,1,1,681,0,7.6499999999999995,16.900000000000002,2.35,27.6,11.904137605537784,155.69272976680384,3.9786171238278856,23.545275386370708,0.5538548623739797,23.545275386370708,57207,4374,171165,28923,1229564,28923
IA,2003,665,41,0,5,711,0,7.59,16.96,2.19,24.0,12.404913113266803,163.52345906163754,4.47738636506757,26.40472388309132,0.5793837182581656,26.40472388309132,57316,4348,158798,26927,1227166,26927
IA,2004,658,77,1,0,736,0,7.62,15.36,1.9800000000000002,23.2,12.774672822577845,167.65375854214125,4.63286438170774,30.158990329454188,0.5958250152599205,30.04326883827251,57614,4390,158865,24404,1235262,24498
IA,2005,560,68,0,1,629,0,7.79,17.9,2.22,21.0,10.827093553662106,139.00552486187846,4.056703557516188,22.663399870288966,0.5020841681447151,22.621017046680574,58095,4525,155052,27754,1252778,27806
IA,2006,666,65,0,1,732,0,8.260000000000002,16.53,2.21,21.2,12.72202718203622,154.07282677331088,4.257521912860391,25.754697065653367,0.5683212163937379,25.659001682557488,57538,4751,171931,28422,1288004,28528
IA,2007,601,59,1,3,664,0,7.32,14.97,2.01,25.6,11.480738640293243,156.75165250236074,3.87959240908666,25.916240583896023,0.514184204942673,25.571901717630748,57836,4236,171152,25621,1291366,25966
IA,2008,561,78,0,5,644,1,7.24,15.35,1.9300000000000002,21.8,11.22518345505569,155.10597302504817,3.9574755730350892,25.78268876611418,0.4933535169057848,25.50293046095359,57371,4152,162730,24978,1305352,25252
IA,2009,670,60,0,0,730,0,5.8999999999999995,14.799999999999999,1.6400000000000001,21.8,12.976624300062218,220.01205545509342,5.192477309585455,35.08940588348394,0.573973373925569,34.90651747716731,56255,3318,140588,20804,1271836,20913
IA,2010,763,44,0,2,809,0,5.65,14.78,1.54,20.4,14.513814137064944,256.66243654822335,6.288574848809913,42.55431066224817,0.6489443624462555,42.163965184760514,55740,3152,128646,19011,1246640,19187
IA,2011,811,44,0,1,856,0,5.88,13.76,1.54,19.2,15.537646119218762,264.36071649166155,6.0913561095020885,44.265177370979416,0.6779789889875936,43.91319961011645,55092,3238,140527,19338,1262576,19493
IA,2012,854,59,0,1,914,0,5.86,11.24,1.39,20.4,16.434119677790562,280.5402087170043,5.758749960621239,51.256168685509195,0.7104939332057968,51.04149215390629,55616,3258,158715,17832,1286429,17907
IA,2013,933,61,0,2,996,0,5.57,11.92,1.26,18.6,18.013781628113076,323.16677482154444,7.299484052532834,61.224489795918366,0.766548913670892,60.76134699853587,55291,3082,136448,16268,1299330,16392
IA,2014,1000,55,0,2,1057,0,5.47,16.16,1.6,18.0,19.19933156537218,350.929614873838,8.166008699078331,50.518568082970894,0.8108197257020648,50.518568082970894,55054,3012,129439,20923,1303619,20923
KS,1992,264,60,0,1,325,0,9.45,18.58,2.94,30.0,6.579879740044135,69.65280754393486,2.319721918873971,12.487992315081652,0.36635404454865184,12.463568031906734,49393,4666,140103,26025,887120,26076
KS,1993,242,71,2,1,316,0,9.5,19.75,2.85,26.6,6.297204121081684,66.2751677852349,2.4485304942777226,12.399450657249362,0.35241622586757404,12.350021495290576,50181,4768,129057,25485,896667,25587
KS,1994,272,53,0,2,327,0,9.9,19.28,3.01,25.0,6.391587341920603,64.53522794552991,2.2749408654515095,11.799516472413668,0.35302309764273415,11.746111570099501,51161,5067,143740,27713,926285,27839
KS,1995,246,71,0,2,319,0,9.86,20.43,3.0,23.2,6.133907626043149,62.231759656652365,2.280640295124863,11.163604549431321,0.3337109811835128,11.13049546406141,52006,5126,139873,28575,955917,28660
KS,1996,291,54,0,3,348,0,9.75,17.64,2.7199999999999998,25.2,6.595155971648411,67.61220128230038,2.2892176532887767,12.975875312278609,0.3524971587513497,12.935841201397666,52766,5147,152017,26819,987242,26902
KS,1997,260,62,0,0,322,0,9.73,17.47,2.9899999999999998,27.6,6.038217038273295,62.03043729531882,1.8449655931106006,10.560839619547393,0.31465716050251336,10.518407212622089,53327,5191,174529,30490,1023336,30613
KS,1998,349,52,0,3,404,0,9.46,19.400000000000002,3.2199999999999998,27.0,7.538157256409299,79.70013809429868,2.308795711583411,11.901605538370895,0.3820619999621721,11.870482458717753,53594,5069,174983,33945,1057420,34034
KS,1999,433,60,0,1,494,1,8.97,17.150000000000002,2.8000000000000003,27.2,9.204397242407303,102.61736601578728,2.7720105493518883,16.164392526422564,0.4511860530536345,16.11692930083847,53670,4814,178210,30561,1094892,30651
KS,2000,391,82,0,1,474,1,8.84,16.650000000000002,2.6599999999999997,28.2,8.849887976101568,100.08445945945945,2.6753512103988757,16.066162763108835,0.42591733968794815,15.985430999595303,53560,4736,177173,29503,1112892,29652
KS,2001,312,69,0,1,382,0,8.42,17.61,2.4,27.0,7.124340252522426,84.56940447199469,2.553697848075033,14.504309526521624,0.3459609064175748,14.3966232004221,53619,4517,149587,26337,1104171,26534
KS,2002,421,82,0,0,503,0,8.74,17.349999999999998,2.8400000000000003,32.6,9.374534068883257,107.24946695095949,2.802353308225436,16.147672552166934,0.45899772417430595,16.147672552166934,53656,4690,179492,31150,1095866,31150
KS,2003,428,63,0,0,491,0,8.58,16.869999999999997,2.53,25.8,9.127072644806306,106.36915077989602,2.965925084719143,17.577146130163957,0.4449168476689891,17.577146130163957,53796,4616,165547,27934,1103577,27934
KS,2004,448,92,0,0,540,0,8.57,17.75,2.4,26.2,9.941455870981995,116.05415860735009,3.6205890832534346,20.39814150266309,0.48877846116247814,20.357385206966747,54318,4653,149147,26473,1104795,26526
KS,2005,380,74,0,1,455,1,8.67,18.2,2.5700000000000003,25.6,8.284023668639053,95.5681579500105,2.9014896439138864,15.941978206790234,0.40815374568523183,15.888535810315327,54925,4761,156816,28541,1114776,28637
KS,2006,492,86,0,3,581,0,8.690000000000001,17.06,2.4299999999999997,24.0,10.656835231754068,122.70327349524815,3.6148251382779497,21.184277692700356,0.5127901876141311,21.098885136361986,54519,4735,160727,27426,1133017,27537
KS,2007,424,97,1,1,523,0,8.09,14.219999999999999,2.18,26.6,9.52485020670564,117.71325680846276,3.0112677840408564,21.18009152391366,0.45508573536807995,20.869079446151392,54909,4443,173681,24693,1149234,25061
KS,2008,425,114,0,4,543,1,7.6,14.64,1.9800000000000002,23.0,9.955995599559955,130.9696092619392,3.4931295352786784,23.86183863596414,0.4661672467286735,23.57589440778048,54540,4146,155448,22756,1164818,23032
KS,2009,435,73,0,1,509,0,6.5,16.400000000000002,1.8599999999999999,22.0,9.554379246912191,147.06732158335743,4.0379519888301845,24.61791449023022,0.45117313880000354,24.295942720763723,53274,3461,126054,20676,1128170,20950
KS,2010,615,108,0,5,728,0,6.05,15.1,1.66,21.6,13.873008613461392,229.14699401951526,6.088381895427023,40.32570763861962,0.6618909898270628,39.91884630147503,52476,3177,119572,18053,1099879,18237
KS,2011,707,92,0,6,805,0,6.239999999999999,15.22,1.8399999999999999,24.0,15.660869226878333,251.01340816962892,6.113072863272203,40.17768017568377,0.734140066628911,39.79828941513818,51402,3207,131685,20036,1096521,20227
KS,2012,1004,96,0,0,1100,0,6.4799999999999995,14.540000000000001,1.9800000000000002,22.2,21.259735992733038,328.0644199224575,7.259767687434002,49.92058089403222,0.9792706214362338,49.56964535171916,51741,3353,151520,22035,1123285,22191
KS,2013,1018,70,0,0,1088,0,6.3,15.03,1.8499999999999999,20.8,21.091402539497917,334.5633456334564,7.83776969347693,52.13224724484906,0.9543901508339949,51.71594258009316,51585,3252,138815,20870,1139995,21038
KS,2014,960,75,0,1,1036,0,6.4799999999999995,14.24,1.7999999999999998,21.0,20.037909558624424,309.34607345476263,7.088025615413035,49.76462676529926,0.8940051603772772,49.76462676529926,51702,3349,146162,20818,1158830,20818
KY,1992,259,37,0,1,297,0,10.16,18.34,2.79,28.2,5.030573011060486,49.50825137522921,1.634283639004903,8.911158450598577,0.24818747931771007,8.901810334492266,59039,5999,181731,33329,1196676,33364
KY,1993,277,43,0,3,323,0,10.15,17.77,2.83,25.4,5.373035016218913,52.93346443788922,1.6480600853113456,9.273614699971288,0.26114030187172105,9.2356961084265,60115,6102,195988,34830,1236883,34973
KY,1994,285,53,0,1,339,0,10.07,18.88,2.94,26.0,5.5464659685863875,55.10403120936281,1.7186573179820226,9.104092813406382,0.26680119533231705,9.076791260576202,61120,6152,197247,37236,1270609,37348
KY,1995,272,66,0,3,341,0,10.27,18.08,2.91,24.4,5.48055287688846,53.347934918648306,1.600270309588951,8.85208452312964,0.25759703514122134,8.841985168282942,62220,6392,213089,38522,1323773,38566
KY,1996,319,76,0,1,396,0,9.8,20.1,3.1,28.0,6.293806322414533,64.21274525701314,1.924768760419755,9.574699581711357,0.2943463207453206,9.487075058096357,62919,6167,205739,41359,1345354,41741
KY,1997,291,54,1,4,350,0,9.969999999999999,15.58,2.68,28.8,5.502452521695385,55.17023959646911,1.471101266408033,9.442870632672332,0.2524030573942918,9.416195856873822,63608,6344,237917,37065,1386671,37170
KY,1998,349,53,1,1,404,0,9.950000000000001,19.97,3.2099999999999995,27.6,6.299114381938381,63.293122356258806,1.7767613686340047,8.898482412281668,0.2849503206043768,8.880487107906712,64136,6383,227380,45401,1417791,45493
KY,1999,452,54,1,1,508,0,9.3,18.55,2.81,28.0,7.910554673144601,85.09212730318258,2.3473961462039648,12.651607600926457,0.35324754795439767,12.562751935108935,64218,5970,216410,40153,1438085,40437
KY,2000,458,56,0,3,517,0,8.83,15.7,2.48,25.2,8.089880607758149,91.56925256818987,2.1831479557796416,13.90644753476612,0.3441016517544858,13.853904282115868,63907,5646,236814,37177,1502463,37318
KY,2001,481,62,0,3,546,1,8.35,16.45,2.27,27.4,8.524723258755015,102.05607476635514,2.654428422802804,16.134751773049643,0.3648786277355873,16.044194998677675,64049,5350,205694,33840,1496388,34031
KY,2002,450,46,0,0,496,0,8.5,17.82,2.71,30.2,7.735857884804342,91.04258443465491,2.2217941883956045,12.465756867475937,0.3377734194110757,12.465756867475937,64117,5448,223243,39789,1468440,39789
KY,2003,438,55,0,1,494,1,8.27,16.18,2.32,25.8,7.712604018672621,93.22513681826759,2.3313763615426724,14.40569228974688,0.33474436440244404,14.40569228974688,64051,5299,211892,34292,1475753,34292
KY,2004,407,56,0,0,463,0,8.62,18.12,2.65,24.6,7.1704015734617705,83.18361480416817,2.137284771268984,11.793474107847882,0.31132559479662636,11.761717261526737,64571,5566,216630,39259,1487189,39365
KY,2005,346,30,0,1,377,0,8.9,18.19,2.68,25.8,5.786202133374261,64.98879503533874,1.7195767195767195,9.450990223113562,0.250095029477381,9.347416443518794,65155,5801,219240,39890,1507427,40332
KY,2006,413,57,0,1,471,0,8.73,17.51,2.6100000000000003,24.6,7.241808760897308,82.90793874317902,2.0839232620699417,11.9008515046618,0.306666779523514,11.75296319401123,65039,5681,226016,39577,1535869,40075
KY,2007,429,75,0,1,505,0,8.27,15.559999999999999,2.42,29.2,7.741480538991001,93.60518999073216,2.1472001360602064,13.797437228491026,0.3279329380388571,13.546864102151403,65233,5395,235190,36601,1539949,37278
KY,2008,413,54,0,2,469,0,7.61,15.28,2.22,26.0,7.2837397111352695,95.65572098715072,2.1019136826065523,13.755682651415164,0.3019333390415258,13.57452966714906,64390,4903,223130,34095,1553323,34550
KY,2009,368,88,0,1,457,0,6.59,15.129999999999999,1.7000000000000002,21.8,7.284609866900454,110.60019361084221,2.785583235299496,18.412570507655115,0.3101541201294096,18.21515405157639,62735,4132,164059,24820,1473461,25089
